July_year,Population,Change_numeric,Change_percent,Births_num,Births_per_thousand,Deaths_num,Deaths_per_thousand,Natural_increase,Migration_num,Migration_per_thousand
1900,"1,490",NA,NA,NA,NA,NA,NA,NA,NA,NA
1901,"1,550",60000,4.03,NA,NA,NA,NA,NA,NA,NA
1902,"1,623",73000,4.71,NA,NA,NA,NA,NA,NA,NA
1903,"1,702",79000,4.87,NA,NA,NA,NA,NA,NA,NA
1904,"1,792",90000,5.29,NA,NA,NA,NA,NA,NA,NA
1905,"1,893",101000,5.64,21000,11.1,27000,14.3,-6000,107000,56.5
1906,"1,976",83000,4.38,21000,10.6,29000,14.7,-8000,"91,000",46.1
1907,"2,054",78000,3.95,25000,12.2,31000,15.1,-6000,"84,000",40.9
1908,"2,161",107000,5.21,28000,13,31000,14.3,-3000,"110,000",50.9
1909,"2,282",121000,5.6,31000,13.6,31000,13.6,0,"121,000",53
1910,"2,406",124000,5.43,32000,13.3,32000,13.3,0,124000,51.5
1911,"2,534",128000,5.32,35000,13.8,34000,13.4,1000,"127,000",50.1
1912,"2,668",134000,5.29,39000,14.6,37000,13.9,2000,"132,000",49.5
1913,"2,811",143000,5.36,44000,15.7,39000,13.9,5000,"138,000",49.1
1914,"2,934",123000,4.38,46000,15.7,37000,12.6,9000,"114,000",38.9
1915,"3,008",74000,2.52,48000,16,39000,13,9000,65000,21.6
1916,"3,071",63000,2.09,51000,16.6,40000,13,11000,"52,000",16.9
1917,"3,171",100000,3.26,52000,16.4,42000,13.2,10000,"90,000",28.4
1918,"3,262",91000,2.87,56000,17.2,58000,17.8,-2000,"93,000",28.5
1919,"3,339",77000,2.36,57000,17.1,46000,13.8,11000,"66,000",19.8
1920,"3,554",215000,6.44,67000,18.9,47000,13.2,20000,195000,54.9
1921,"3,795",241000,6.78,72000,19,47000,12.4,25000,"216,000",56.9
1922,"3,991",196000,5.16,73000,18.3,52000,13,21000,"175,000",43.8
1923,"4,270",279000,6.99,80000,18.7,54000,12.6,26000,"253,000",59.3
1924,"4,541",271000,6.35,87000,19.2,57000,12.6,30000,"241,000",53.1
1925,"4,730",189000,4.16,85000,18,57000,12.1,28000,161000,34
1926,"4,929",199000,4.21,82000,16.6,59000,12,23000,"176,000",35.7
1927,"5,147",218000,4.42,84000,16.3,61000,11.9,23000,"195,000",37.9
1928,"5,344",197000,3.83,84000,15.7,66000,12.4,18000,"179,000",33.5
1929,"5,531",187000,3.5,81000,14.6,65000,11.8,16000,"171,000",30.9
1930,"5,711",180000,3.25,84000,14.7,66000,11.6,18000,162000,28.4
1931,"5,824",113000,1.98,82000,14.1,68000,11.7,14000,"99,000",17
1932,"5,894",70000,1.2,78000,13.2,68000,11.5,10000,"60,000",10.2
1933,"5,963",69000,1.17,75000,12.6,68000,11.4,7000,"62,000",10.4
1934,"6,060",97000,1.63,78000,12.9,68000,11.2,10000,"87,000",14.4
1935,"6,175",115000,1.9,80000,13,73000,11.8,7000,108000,17.5
1936,"6,341",166000,2.69,84000,13.2,76000,12,8000,"158,000",24.9
1937,"6,528",187000,2.95,94000,14.4,80000,12.3,14000,"173,000",26.5
1938,"6,656",128000,1.96,102000,15.3,76000,11.4,26000,"102,000",15.3
1939,"6,785",129000,1.94,104000,15.3,77000,11.3,27000,"102,000",15
1940,"6,950",165000,2.43,112000,16.1,80000,11.5,32000,133000,19.1
1941,"7,237",287000,4.13,125000,17.3,82000,11.3,43000,244000,33.7
1942,"7,735",498000,6.88,153000,19.8,85000,11,68000,430000,55.6
1943,"8,506",771000,9.97,173000,20.3,90000,10.6,83000,688000,80.9
1944,"8,945",439000,5.16,177000,19.8,92000,10.3,85000,354000,39.6
1945,"9,344",399000,4.46,182000,19.5,92000,9.8,90000,309000,33.1
1946,"9,559",215000,2.3,217000,22.7,94000,9.8,123000,92000,9.6
1947,"9,832",273000,2.86,244000,24.8,95000,9.7,149000,124000,12.6
1948,"10,064",232000,2.36,240000,23.8,98000,9.7,142000,90000,8.9
1949,"10,337",273000,2.71,245000,23.7,100000,9.7,145000,128000,12.4
1950,"10,643",306000,2.96,244000,22.9,99000,9.3,145000,161000,15.1
1951,"11,130",487000,4.58,260000,23.4,104000,9.3,156000,331000,29.7
1952,"11,638",508000,4.56,281000,24.1,108000,9.3,173000,335000,28.8
1953,"12,101",463000,3.98,297000,24.5,110000,9.1,187000,276000,22.8
1954,"12,517",416000,3.44,306000,24.4,109000,8.7,197000,219000,17.5
1955,"13,004",487000,3.89,313000,24.1,114000,8.8,199000,288000,22.1
1956,"13,581",577000,4.44,334000,24.6,120000,8.8,214000,363000,26.7
1957,"14,177",596000,4.39,351000,24.8,124000,8.7,227000,369000,26
1958,"14,741",564000,3.98,349000,23.7,126000,8.5,223000,341000,23.1
1959,"15,288",547000,3.71,359000,23.5,128000,8.4,231000,316000,20.7
1960,"15,863",575000,3.76,372000,23.5,135000,8.5,237000,338000,21.3
1961,"16,412",549000,3.46,381000,23.2,137000,8.3,244000,305000,18.6
1962,"16,951",539000,3.28,378000,22.3,141000,8.3,237000,302000,17.8
1963,"17,530",579000,3.42,381000,21.7,148000,8.4,233000,346000,19.7
1964,"18,026",496000,2.83,375000,20.8,151000,8.4,224000,272000,15.1
1965,"18,464",438000,2.43,355000,19.2,153000,8.3,202000,236000,12.8
1966,"18,831",367000,1.99,338000,17.9,157000,8.3,181000,186000,9.9
1967,"19,175",344000,1.83,337000,17.6,157000,8.2,180000,164000,8.6
1968,"19,432",257000,1.34,339000,17.4,161000,8.3,178000,79000,4.1
