"","abrev","Yindex","Year","FelOth","CivAdd","Total","DesCap","PercCap","StaffCap","name"
"1","ASP",120,1995,5705,0,5705,3034,188,5793,NA
"2","CCC",129,1995,5763,0,5763,3682,156.5,5637,NA
"3","CCI",138,1995,5697,2,5699,2757,206.7,5728,NA
"4","CIM",147,1995,5645,55,5700,2778,205.2,5371,NA
"5","CMF",165,1995,3050,0,3050,2335,130.6,3339,NA
"6","CMC",174,1995,6128,0,6128,3859,158.8,6474,NA
"7","CRC",183,1995,1465,2482,3947,1814,217.6,3906,NA
"8","CAL",192,1995,3863,0,3863,2208,175,4008,NA
"9","CEN",210,1995,3955,0,3955,2208,179.1,4248,NA
"10","COR",219,1995,5071,1,5072,2916,173.9,4736,NA
"11","LAC",228,1995,4002,0,4002,2200,181.9,4000,NA
"12","SAC",237,1995,3229,0,3229,1728,186.9,3108,NA
"13","SQ",255,1995,5393,62,5455,3187,171.2,5412,NA
"14","SOL",264,1995,4723,0,4723,2404,196.5,4830,NA
"15","CVSP",273,1995,3534,0,3534,2200,160.6,3579,NA
"16","CTF",282,1995,6200,0,6200,2885,214.9,6461,NA
"17","DVI",300,1995,3339,23,3362,1691,198.8,3396,NA
"18","FOL",310,1995,3715,0,3715,2064,180,3710,NA
"19","IRON",319,1995,3823,0,3823,2200,173.8,3500,NA
"20","MCSP",328,1995,3504,0,3504,1700,206.1,3478,NA
"21","NKSP",346,1995,4344,4,4348,2492,174.5,4372,NA
"22","PBSP",355,1995,3565,0,3565,2280,156.4,3730,NA
"23","PVSP",364,1995,3634,0,3634,2208,164.6,2208,NA
"24","RJD",373,1995,4615,1,4616,2200,209.8,4516,NA
"25","SRTA",391,1995,812,0,812,395,205.6,750,NA
"26","SCC",400,1995,5416,0,5416,3606,150.2,5884,NA
"27","WSP",409,1995,4580,55,4635,2484,186.6,4484,NA
"28","MALE",437,1995,114770,2685,117455,65515,179.3,116658,NA
"29","CIW",482,1995,1826,31,1857,1026,181,1904,NA
"30","CRC",491,1995,153,707,860,500,172,842,NA
"31","CCWF",500,1995,3393,28,3421,2000,171.1,3966,NA
"32","NCWF",509,1995,755,5,760,400,190,760,NA
