"","name","abrev","PercCap","DesCap","FelOth","StafCap","Total","CivAdd","Yindex","Year"
"1","(AVENAL SP)","ASP","188.0","3,034","5,705","5,793","5,705","0","120","../data/CA_prison_pop_reports/July_1995.pdf"
"2","(CAL CORRECTL CTR)","CCC","156.5","3,682","5,763","5,637","5,763","0","129","../data/CA_prison_pop_reports/July_1995.pdf"
"3","(CAL CORRECTL INSTITN)","CCI","206.7","2,757","5,697","5,728","5,699","2","138","../data/CA_prison_pop_reports/July_1995.pdf"
"4","(CAL INSTITN FOR MEN)","CIM","205.2","2,778","5,645","5,371","5,700","55","147","../data/CA_prison_pop_reports/July_1995.pdf"
"5","(CAL MEDICAL FACIL)","CMF","130.6","2,335","3,050","3,339","3,050","0","165","../data/CA_prison_pop_reports/July_1995.pdf"
"6","(CAL COLONY)","CMC","158.8","3,859","6,128","6,474","6,128","0","174","../data/CA_prison_pop_reports/July_1995.pdf"
"7","(CAL REHAB MEN)","CRC","217.6","1,814","1,465","3,906","3,947","2,482","183","../data/CA_prison_pop_reports/July_1995.pdf"
"8","(CAL CALIPATRIA)","CAL","175.0","2,208","3,863","4,008","3,863","0","192","../data/CA_prison_pop_reports/July_1995.pdf"
"9","(CAL CENTINELA)","CEN","179.1","2,208","3,955","4,248","3,955","0","210","../data/CA_prison_pop_reports/July_1995.pdf"
"10","(CAL CORCORAN)","COR","173.9","2,916","5,071","4,736","5,072","1","219","../data/CA_prison_pop_reports/July_1995.pdf"
"11","(CAL LOS ANGELES CO)","LAC","181.9","2,200","4,002","4,000","4,002","0","228","../data/CA_prison_pop_reports/July_1995.pdf"
"12","(CAL SACRAMENTO)","SAC","186.9","1,728","3,229","3,108","3,229","0","237","../data/CA_prison_pop_reports/July_1995.pdf"
"13","(CAL SAN QUENTIN)","SQ","171.2","3,187","5,393","5,412","5,455","62","255","../data/CA_prison_pop_reports/July_1995.pdf"
"14","(CAL SOLANO)","SOL","196.5","2,404","4,723","4,830","4,723","0","264","../data/CA_prison_pop_reports/July_1995.pdf"
"15","(CHUCKAWALLA VALLEY SP)","CVSP","160.6","2,200","3,534","3,579","3,534","0","273","../data/CA_prison_pop_reports/July_1995.pdf"
"16","(CORRECTL TRAINING FACIL)","CTF","214.9","2,885","6,200","6,461","6,200","0","282","../data/CA_prison_pop_reports/July_1995.pdf"
"17","(DEUEL VOCATL INSTITN)","DVI","198.8","1,691","3,339","3,396","3,362","23","300","../data/CA_prison_pop_reports/July_1995.pdf"
"18","(FOLSOM SP)","FOL","180.0","2,064","3,715","3,710","3,715","0","310","../data/CA_prison_pop_reports/July_1995.pdf"
"19","(IRONWOOD SP)","IRON","173.8","2,200","3,823","3,500","3,823","0","319","../data/CA_prison_pop_reports/July_1995.pdf"
"20","(MULE CREEK SP)","MCSP","206.1","1,700","3,504","3,478","3,504","0","328","../data/CA_prison_pop_reports/July_1995.pdf"
"21","(NORTH KERN SP)","NKSP","174.5","2,492","4,344","4,372","4,348","4","346","../data/CA_prison_pop_reports/July_1995.pdf"
"22","(PELICAN BAY SP)","PBSP","156.4","2,280","3,565","3,730","3,565","0","355","../data/CA_prison_pop_reports/July_1995.pdf"
"23","(PLEASANT VALLEY SP)","PVSP","164.6","2,208","3,634","2,208","3,634","0","364","../data/CA_prison_pop_reports/July_1995.pdf"
"24","(RJ DONOVAN CORR FACIL)","RJD","209.8","2,200","4,615","4,516","4,616","1","373","../data/CA_prison_pop_reports/July_1995.pdf"
"25","(SANTA RITA JAIL-RC)","SRTA","205.6","395","812","750","812","0","391","../data/CA_prison_pop_reports/July_1995.pdf"
"26","(SIERRA CONSERV CTR)","SCC","150.2","3,606","5,416","5,884","5,416","0","400","../data/CA_prison_pop_reports/July_1995.pdf"
"27","(WASCO SP)","WSP","186.6","2,484","4,580","4,484","4,635","55","409","../data/CA_prison_pop_reports/July_1995.pdf"
"28","Male Total","MALE","179.3","65,515","114,770","116,658","117,455","2,685","437","../data/CA_prison_pop_reports/July_1995.pdf"
"29","(CAL INST FOR WOMEN)","CIW","181.0","1,026","1,826","1,904","1,857","31","482","../data/CA_prison_pop_reports/July_1995.pdf"
"30","(CAL REHAB WOMEN)","CRC","172.0","500","153","842","860","707","491","../data/CA_prison_pop_reports/July_1995.pdf"
"31","(CENT CAL FACIL)","CCWF","171.1","2,000","3,393","3,966","3,421","28","500","../data/CA_prison_pop_reports/July_1995.pdf"
"32","(NO CAL FACIL)","NCWF","190.0","400","755","760","760","5","509","../data/CA_prison_pop_reports/July_1995.pdf"
"33","(SIERRA CONSERV CTR)","SCC","103.4","320","331","320","331","0","519","../data/CA_prison_pop_reports/July_1995.pdf"
"34","(VALLEY SP)","VSP","111.1","1,084","1,204","1,084","1,204","0","528","../data/CA_prison_pop_reports/July_1995.pdf"
"35","Female Total","FEMALE","158.2","5,330","7,662","8,876","8,433","771","555","../data/CA_prison_pop_reports/July_1995.pdf"
"36","Total",NA,"177.7","70,845","122,432","125,534","125,888","3,456","591","../data/CA_prison_pop_reports/July_1995.pdf"
"37","(AVENAL SP)","ASP","247.1","2,320","5,733","5,793","5,733","0","120","../data/CA_prison_pop_reports/July_1996.pdf"
"38","(CAL CORRECTL CTR)","CCC","161.7","3,682","5,952","5,637","5,953","1","129","../data/CA_prison_pop_reports/July_1996.pdf"
