date, Population, Annual Change,,,
,,,,,
06/1/1850,"92,597",,,,1850-1880: These are from 
06/1/1860,"379,994",,,,http://www.dof.ca.gov/Reports/Demographic_Reports/
06/1/1870,"560,247",,,,
06/1/1880,"864,694",,,,
12/1/00,1490000,,,,1900--2019: Macrotrends Data Download
12/1/01,1550000,4.03,,,
12/1/02,1623000,4.71,,,
12/1/03,1702000,4.87,,,
12/1/04,1792000,5.29,,,
12/1/05,1893000,5.64,,,
12/1/06,1976000,4.38,,,
12/1/07,2054000,3.95,,,
12/1/08,2161000,5.21,,,
12/1/09,2282000,5.6,,,
12/1/10,2406000,5.43,,,
12/1/11,2534000,5.32,,,
12/1/12,2668000,5.29,,,
12/1/13,2811000,5.36,,,
12/1/14,2934000,4.38,,,
12/1/15,3008000,2.52,,,
12/1/16,3071000,2.09,,,
12/1/17,3171000,3.26,,,
12/1/18,3262000,2.87,,,
12/1/19,3339000,2.36,,,
12/1/20,3554000,6.44,,,
12/1/21,3795000,6.78,,,
12/1/22,3991000,5.16,,,
12/1/23,4270000,6.99,,,
12/1/24,4541000,6.35,,,
12/1/25,4730000,4.16,,,
12/1/26,4929000,4.21,,,
12/1/27,5147000,4.42,,,
12/1/28,5344000,3.83,,,
12/1/29,5531000,3.5,,,
12/1/30,5711000,3.25,,,
12/1/31,5824000,1.98,,,
12/1/32,5894000,1.2,,,
12/1/33,5963000,1.17,,,
12/1/34,6060000,1.63,,,
12/1/35,6175000,1.9,,,
12/1/36,6341000,2.69,,,
12/1/37,6528000,2.95,,,
12/1/38,6656000,1.96,,,
12/1/39,6785000,1.94,,,
12/1/40,6950000,2.43,,,
12/1/41,7237000,4.13,,,
12/1/42,7735000,6.88,,,
12/1/43,8506000,9.97,,,
12/1/44,8945000,5.16,,,
12/1/45,9344000,4.46,,,
12/1/46,9559000,2.3,,,
12/1/47,9832000,2.86,,,
12/1/48,10064000,2.36,,,
12/1/49,10337000,2.71,,,
12/1/50,10677000,3.29,,,
12/1/51,11134000,4.28,,,
12/1/52,11635000,4.5,,,
12/1/53,12251000,5.29,,,
12/1/54,12746000,4.04,,,
12/1/55,13133000,3.04,,,
12/1/56,13713000,4.42,,,
12/1/57,14264000,4.02,,,
12/1/58,14880000,4.32,,,
12/1/59,15467000,3.94,,,
12/1/60,15870000,2.61,,,
12/1/61,16497000,3.95,,,
12/1/62,17072000,3.49,,,
12/1/63,17668000,3.49,,,
12/1/64,18151000,2.73,,,
12/1/65,18585000,2.39,,,
12/1/66,18858000,1.47,,,
12/1/67,19176000,1.69,,,
12/1/68,19394000,1.14,,,
12/1/69,19711000,1.63,,,
12/1/70,19971069,1.32,,,
12/1/71,20345939,1.88,,,
12/1/72,20585469,1.18,,,
12/1/73,20868728,1.38,,,
12/1/74,21173865,1.46,,,
12/1/75,21537849,1.72,,,
12/1/76,21935909,1.85,,,
12/1/77,22352396,1.9,,,
12/1/78,22835958,2.16,,,
12/1/79,23256880,1.84,,,
12/1/80,23800800,2.34,,,
12/1/81,24285933,2.04,,,
12/1/82,24820009,2.2,,,
12/1/83,25360026,2.18,,,
12/1/84,25844393,1.91,,,
12/1/85,26441109,2.31,,,
12/1/86,27102237,2.5,,,
12/1/87,27777158,2.49,,,
12/1/88,28464249,2.47,,,
12/1/89,29218164,2.65,,,
12/1/90,29950111,2.51,,,
12/1/91,30414114,1.55,,,
12/1/92,30875920,1.52,,,
12/1/93,31147208,0.88,,,
12/1/94,31317179,0.55,,,
12/1/95,31493525,0.56,,,
12/1/96,31780829,0.91,,,
12/1/97,32217708,1.37,,,
12/1/98,32682794,1.44,,,
12/1/99,33145121,1.41,,,
12/1/00,33987977,2.54,,,
12/1/01,34479458,1.45,,,
12/1/02,34871843,1.14,,,
12/1/03,35253159,1.09,,,
12/1/04,35574576,0.91,,,
12/1/05,35827943,0.71,,,
12/1/06,36021202,0.54,,,
12/1/07,36250311,0.64,,,
12/1/08,36604337,0.98,,,
12/1/09,36961229,0.97,,,
12/1/10,37319502,0.97,,,
12/1/11,37638369,0.85,,,
12/1/12,37948800,0.82,,,
12/1/13,38260787,0.82,,,
12/1/14,38596972,0.88,,,
12/1/15,38918045,0.83,,,
12/1/16,39167117,0.64,,,
12/1/17,39358497,0.49,,,
12/1/18,39461588,0.26,,,
12/1/19,39512223,0.13,,,
