year	pop_estimate
1851	121337
1852	150076
1853	178816
1854	207556
1855	236296
1856	265035
1857	293775
1858	322515
1859	351254
1860	379994
1861	398019
1862	416045
1863	434070
1864	452095
1865	470120
1866	488146
1867	506171
1868	524196
1869	542222
1870	560247
1871	590692
1872	621136
1873	651581
1874	682026
1875	712470
1876	742915
1877	773360
1878	803805
1879	834249
1880	864694
1881	899564
1882	934435
1883	969305
1884	1004176
1885	1039046
1886	1073916
1887	1108787
1888	1143657
1889	1178528
1890	1213398
1891	1240564
1892	1267729
1893	1294894
1894	1322060
1895	1349226
1896	1376391
1897	1403556
1898	1430722
1899	1457888
1900	1485053
1901	1550000
1902	1623000
1903	1702000
1904	1792000
1905	1893000
1906	1976000
1907	2054000
1908	2161000
1909	2282000
1910	2406000
1911	2534000
1912	2668000
1913	2811000
1914	2934000
1915	3008000
1916	3071000
1917	3171000
1918	3262000
1919	3339000
1920	3554000
1921	3795000
1922	3991000
1923	4270000
1924	4541000
1925	4730000
1926	4929000
1927	5147000
1928	5344000
1929	5531000
1930	5711000
1931	5824000
1932	5894000
1933	5963000
1934	6060000
1935	6175000
1936	6341000
1937	6528000
1938	6656000
1939	6785000
1940	6950000
1941	7237000
1942	7735000
1943	8506000
1944	8945000
1945	9344000
1946	9559000
1947	9832000
1948	10064000
1949	10337000
1950	10643000
1951	11130000
1952	11638000
1953	12101000
1954	12517000
1955	13004000
1956	13581000
1957	14177000
1958	14741000
1959	15288000
1960	15863000
1961	16412000
1962	16951000
1963	17530000
1964	18026000
1965	18464000
1966	18831000
1967	19175000
1968	19432000
1969	19745000
1970	20039000
1971	20346000
1972	20585000
1973	20869000
1974	21174000
1975	21538000
1976	21936000
1977	22352000
1978	22836000
1979	23257000
1980	23782000
1981	24278000
1982	24805000
1983	25337000
1984	25816000
1985	26403000
1986	27052000
1987	27717000
1988	28393000
1989	29142000
1990	29828000
1991	30459000
1992	30987000
1993	31314000
1994	31524000
1995	31712000
1996	31963000
1997	32453000
1998	32863000
1999	33419000
2000	34001000
2001	34513000
2002	34938000
2003	35389000
2004	35753000
2005	35986000
2006	36247000
2007	36553000
2008	36856000
2009	37077000
2010	37368000
2011	37730000
2012	38101000
2013	38410000
2014	38743000
2015	39055000
2016	39309000
2017	39591000
2018	39818000
2019	39959000
2020	39782870
