year	inmate_count
1851	10
1852	80
1853	187
1854	254
1855	349
1856	461
1857	481
1858	539
1859	567
1860	514
1861	604
1862	598
1863	565
1864	552
1865	628
1866	695
1867	697
1868	673
1869	741
1870	769
1871	880
1872	936
1873	931
1874	967
1875	1088
1876	1125
1877	1318
1878	1487
1879	1564
1880	1515
1881	1517
1882	1514
1883	1494
1884	1621
1885	1773
1886	1891
1887	1825
1888	1798
1889	1923
1890	2058
1891	1965
1892	1959
1893	1943
1894	2076
1895	2128
1896	2206
1897	2276
1898	2279
1899	2180
1900	1309
1901	2052
1902	2244
1903	2338
1904	2384
1905	2628
1906	2634
1907	2581
1908	2712
1909	2844
1910	2939
1911	3037
1912	3101
1913	3055
1914	3361
1915	3483
1916	3753
1917	3580
1918	3118
1919	2922
1920	2911
1921	3246
1922	3760
1923	3978
1924	4457
1925	4865
1926	5276
1927	3529
1928	6634
1929	7110
1930	7182
1931	7512
1932	8010
1933	8886
1934	9318
1935	8913
1936	8432
1937	8081
1938	8475
1939	8784
1940	8706
1941	7874
1942	6566
1943	5960
1944	5693
1945	6170
1946	7839
1947	9036
1948	10084
1949	10899
1950	11598
1951	1130
1952	13169
1953	14149
1954	15376
1955	15230
1956	15532
1957	16918
1958	19202
1959	19299
1960	21660
1961	23927
1962	24032
1963	26133
1964	26483
1965	26325
1966	27467
1967	27741
1968	28462
1969	27535
1970	25033
1971	20294
1972	19773
1973	22486
1974	24741
1975	20028
1976	21088
1977	19623
1978	21325
1979	22632
1980	24569
1981	29202
1982	34640
1983	39373
1984	43328
1985	50111
1986	59484
1987	66975
1988	76171
1989	87297
1990	97309
1991	101808
1992	109496
1993	119951
1994	125605
1995	135133
1996	145565
1997	155276
1998	159563
1999	160687
2000	160655
